plan_longitude,plan_latitude
-87.6027657399,41.7831044599
-87.6722534,41.93518499
-87.7079101799,41.6814202999
-87.77674347,41.9054937599
-87.61564803,41.89472713
-87.7570359999,41.74564843
-87.73452906,41.71440977
-87.72706775,41.69577487
-87.87014623,41.7910236
-87.93144727,41.88523124
-87.6535016298,41.9231751735
-87.7341132199,41.7031829599
-87.66748049,41.9050900299
-87.68317378,41.67811436
-87.68445635,41.89803173
-87.71699046,41.6913198299
-87.6970040199,41.90896275
-87.6913349999,41.7135741199
-87.64714057,41.87255622
-87.87074029,41.81236932
-87.8035849599,41.8905775799
-87.6583182699,41.88298841
-87.6704534999,41.9039173899
-87.72236732,41.9363791899
-87.6514789299,41.88166777
-87.69621791,41.8993068699
-87.85185119,41.8293869199
-87.6806755599,41.91043436
-87.6422390099,41.9116973699
-87.6320993599,41.8891941099
-87.74727002,41.6488945199
-87.63465309,41.895603
-87.5908550799,41.7995480299
-87.6812852099,41.90314287
-87.73701189,41.85382252
-87.621812,41.8910079999
-87.63322485,41.9126118
-87.7092071299,41.6823095299
-87.6715898399,41.94389859
-87.7132342,41.6974913
-87.7653368999,41.7397883499
-87.6403266191,41.8873064201
-87.6223753099,41.86467951
-87.6982524299,41.9185563899
-87.6980642099,41.8999673599
-87.6237655599,41.85085712
-87.81292566,41.8811499999
-87.6502167,41.94547895
-87.65195022,41.68685913
-87.65801523,41.8815870399
-87.61981531,41.81782554
-87.81483074,41.8907368599
-87.62072419,41.8560930499
-87.6987943799,41.9238582699
-87.70237376,41.915457
-87.69661775,41.76184011
-87.6255056199,41.8808115599
-87.6479268599,41.9543671699
-87.59188179,41.8038152399
-87.7849973799,41.8601277799
-87.5803833599,41.72756865
-87.7020338399,41.78283228
-87.68454549,41.92417658
-87.63705169,41.88505132
-87.63480952,41.91421716
-87.6376480699,41.8955703299
-87.6578956999,41.9343911699
-87.64328102,41.92675253
-87.658163309,41.9290202361
-87.8370022773,41.7313388967
-87.6657945999,41.9570814
